request_rate,policy,num_runs,num_requests,slo_attainment_mean,slo_attainment_std,average_latency_mean,average_latency_std,p95_latency_mean,p95_latency_std,average_batch_size_mean,average_batch_size_std,hidden_cache_ratio_mean,hidden_cache_ratio_std,average_memory_used_mean,average_memory_used_std
0.22,Adaptive-Hybrid,5,280,0.7757142857142857,0.04137311559307024,3.4640183520837438,0.37544936490785014,8.63395847703074,1.138323804420628,1.2971428571428572,0.06577636818983623,0.012857142857142857,0.005416339602893965,3999.2085714285713,376.0228622198252
0.22,FCFS-KV,5,280,0.7785714285714286,0.04064216670264659,3.507894397028095,0.44612673808973397,8.879608286413827,1.4845267368004453,1.2757142857142858,0.06320520515893979,0.0,0.0,3971.437142857143,383.59764187497416
0.3,Adaptive-Hybrid,5,280,0.6257142857142857,0.05951547560706117,4.631017712217746,0.6689376536512529,10.21184116762819,1.2281558399919625,1.8328571428571427,0.15556021211041313,0.03857142857142857,0.014594869101216107,5362.628571428571,554.2705501653613
0.3,FCFS-KV,5,280,0.6035714285714285,0.05714285714285714,4.930950861685589,0.6495375816915219,11.628574081012152,1.4483362645330553,1.762857142857143,0.12468327220339925,0.0,0.0,5397.14,495.1417468302198
0.38,Adaptive-Hybrid,5,280,0.5435714285714286,0.04398805496486331,5.502204762328372,0.7984447681949646,12.090170774975402,2.280247775108524,2.07,0.1258035397444957,0.052142857142857144,0.02136896471664513,6012.6278571428575,433.2350213975161
0.38,FCFS-KV,5,280,0.5185714285714286,0.04873397172404481,6.239207168639755,1.3260175462861294,15.739989182154323,5.374567151067245,1.9728571428571429,0.07749259345780299,0.0,0.0,6150.955714285715,495.855730962718
0.46,Adaptive-Hybrid,5,280,0.43285714285714283,0.05766502494615618,6.313440174799716,0.59386240480884,13.087182739451979,1.1127864134641259,2.472857142857143,0.2395467659168549,0.07642857142857143,0.016865312790167997,6968.141428571429,587.1273314314158
0.46,FCFS-KV,5,280,0.37142857142857144,0.06599899504491545,7.769108572066771,1.1350076166120164,18.59636602891313,3.2360640650996286,2.4514285714285715,0.24838252263599458,0.0,0.0,7354.33,633.5213525346618
0.54,Adaptive-Hybrid,5,280,0.37142857142857144,0.06002762969275576,6.774367274676698,1.2567119395401927,14.36033025617516,3.8460442805328863,2.83,0.3118165996811823,0.08785714285714286,0.028749445424997293,7442.200714285715,889.5677593877217
0.54,FCFS-KV,5,280,0.31714285714285717,0.10036286206377663,8.591676875209945,2.660373717044385,19.097465912448733,6.673128701351631,2.767142857142857,0.27996902160993553,0.0,0.0,7924.678571428572,1131.1253429457238
0.62,Adaptive-Hybrid,5,280,0.2364285714285714,0.11089846431648683,9.511287339671853,3.9100372794564318,20.942139297218326,8.449376219095635,3.3714285714285714,0.26399598017966186,0.11714285714285715,0.03208327811639386,8692.682142857142,965.6363277322492
0.62,FCFS-KV,5,280,0.18857142857142856,0.09263021722341551,17.941864402387516,15.332450326234403,38.433855418124736,20.636565398333893,3.1314285714285712,0.1977939558722457,0.0,0.0,9076.192857142858,1064.4294911633003
