request_rate,policy,num_requests,slo_attainment,average_latency,p95_latency,average_batch_size,hidden_cache_ratio,average_memory_used,seed
0.22,FCFS-KV,280,0.7785714285714286,3.5176649172893732,8.737418589642175,1.3285714285714285,0.0,4202.157142857143,6806
0.22,Adaptive-Hybrid,280,0.7642857142857142,3.5751559912745208,8.501490126767806,1.3285714285714285,0.010714285714285714,4160.892857142857,6806
0.3,FCFS-KV,280,0.5964285714285714,4.720095150619309,10.099921575211908,1.75,0.0,5252.3,6806
0.3,Adaptive-Hybrid,280,0.625,4.370494891117386,9.27089162822324,1.8214285714285714,0.04285714285714286,5151.021428571428,6806
0.38,FCFS-KV,280,0.5464285714285714,6.422883145539769,16.700557768392486,2.0142857142857142,0.0,5974.2357142857145,6806
0.38,Adaptive-Hybrid,280,0.5678571428571428,5.630449468525996,12.228800760587262,2.1214285714285714,0.04642857142857143,5931.128571428571,6806
0.46,FCFS-KV,280,0.325,8.131528371135383,19.04733375691933,2.75,0.0,7791.885714285714,6806
0.46,Adaptive-Hybrid,280,0.38571428571428573,6.697623779388174,13.254958687422118,2.75,0.05357142857142857,7439.692857142857,6806
0.54,FCFS-KV,280,0.21071428571428572,10.93910276743464,21.494915047543046,3.1142857142857143,0.0,9248.635714285714,6806
0.54,Adaptive-Hybrid,280,0.34285714285714286,7.266784102333372,14.362205014545282,3.2071428571428573,0.11785714285714285,8388.614285714286,6806
0.62,FCFS-KV,280,0.28214285714285714,8.855160086566608,25.29124753882752,2.9214285714285713,0.0,7938.1,6806
0.62,Adaptive-Hybrid,280,0.35,6.601389166498221,13.621757655973909,3.164285714285714,0.08214285714285714,7807.428571428572,6806
0.22,FCFS-KV,280,0.7857142857142857,3.3248547126487082,7.678783671626206,1.25,0.0,3850.457142857143,6807
0.22,Adaptive-Hybrid,280,0.7892857142857143,3.2954951271450286,7.645998981917614,1.2571428571428571,0.007142857142857143,3868.75,6807
0.3,FCFS-KV,280,0.525,5.946452216390596,13.063622150603294,1.9142857142857144,0.0,6195.7,6807
0.3,Adaptive-Hybrid,280,0.5285714285714286,5.781559045240265,12.026788212204451,2.0214285714285714,0.060714285714285714,6269.789285714286,6807
0.38,FCFS-KV,280,0.575,4.563766905384601,10.115157133696698,1.8357142857142856,0.0,5418.057142857143,6807
0.38,Adaptive-Hybrid,280,0.5892857142857143,4.477059190704204,9.707722921522816,1.8714285714285714,0.02142857142857143,5411.875,6807
0.46,FCFS-KV,280,0.2857142857142857,9.247830709025846,20.51436285689357,2.6714285714285713,0.0,8256.721428571429,6807
0.46,Adaptive-Hybrid,280,0.35714285714285715,7.112841243678329,14.040108768243897,2.7,0.09285714285714286,7752.982142857143,6807
0.54,FCFS-KV,280,0.29285714285714287,8.148764316496038,17.017832554679728,2.914285714285714,0.0,8239.435714285713,6807
0.54,Adaptive-Hybrid,280,0.32857142857142857,6.988800027315575,13.98808210965106,3.0642857142857145,0.075,7945.196428571428,6807
0.62,FCFS-KV,280,0.17857142857142858,13.221914720746554,35.03892058015833,3.192857142857143,0.0,9154.95,6807
0.62,Adaptive-Hybrid,280,0.2357142857142857,9.07936156076417,21.77834152582477,3.5214285714285714,0.12142857142857143,8667.921428571428,6807
0.22,FCFS-KV,280,0.7178571428571429,4.223264414638189,11.42349437785515,1.3285714285714285,0.0,4472.292857142857,6808
0.22,Adaptive-Hybrid,280,0.7178571428571429,4.032417374286455,10.570580809529702,1.3857142857142857,0.02142857142857143,4547.710714285714,6808
0.3,FCFS-KV,280,0.6821428571428572,4.244641434406852,10.042586112410902,1.6428571428571428,0.0,4936.55,6808
0.3,Adaptive-Hybrid,280,0.6892857142857143,4.078683790893839,9.044289878158182,1.6714285714285715,0.02142857142857143,4890.482142857143,6808
0.38,FCFS-KV,280,0.475,8.061508703937909,24.039740972143306,2.0214285714285714,0.0,6716.771428571428,6808
0.38,Adaptive-Hybrid,280,0.4928571428571429,6.479832220336219,15.50359697214327,2.085714285714286,0.05,6479.728571428572,6808
0.46,FCFS-KV,280,0.37857142857142856,8.155362344750545,22.3095586431715,2.2214285714285715,0.0,6902.95,6808
0.46,Adaptive-Hybrid,280,0.4607142857142857,6.209528686533394,14.164185341161897,2.2071428571428573,0.09285714285714286,6451.496428571429,6808
0.54,FCFS-KV,280,0.45,5.085663489683371,11.384297527077194,2.4214285714285713,0.0,6319.857142857143,6808
0.54,Adaptive-Hybrid,280,0.44642857142857145,4.890143721177658,9.91785846584662,2.4714285714285715,0.04642857142857143,6230.907142857143,6808
0.62,FCFS-KV,280,0.04285714285714286,45.20513147292717,74.75915743634397,3.3,0.0,10784.807142857142,6808
0.62,Adaptive-Hybrid,280,0.05357142857142857,16.325467730070027,35.13825303713325,3.7285714285714286,0.16785714285714284,10322.028571428571,6808
0.22,FCFS-KV,280,0.7785714285714286,3.46468859591175,8.562613661699402,1.292857142857143,0.0,3870.407142857143,6809
0.22,Adaptive-Hybrid,280,0.775,3.394861353054605,8.455991335692374,1.3,0.010714285714285714,3872.9214285714284,6809
0.3,FCFS-KV,280,0.5892857142857143,5.1305015079464384,12.28303661752875,1.8642857142857143,0.0,5514.107142857143,6809
0.3,Adaptive-Hybrid,280,0.6357142857142857,4.596720272958621,9.885445082304273,1.957142857142857,0.03214285714285714,5488.903571428571,6809
0.38,FCFS-KV,280,0.4607142857142857,6.713095359820189,15.85721183930309,1.9928571428571429,0.0,6456.785714285715,6809
0.38,Adaptive-Hybrid,280,0.5,5.973540696893849,12.681668737890092,2.2142857142857144,0.07857142857142857,6386.564285714286,6809
0.46,FCFS-KV,280,0.4392857142857143,6.335126397556397,13.86380266740241,2.392857142857143,0.0,6886.464285714285,6809
0.46,Adaptive-Hybrid,280,0.475,5.650302281297815,11.518186689390262,2.3857142857142857,0.06785714285714285,6599.560714285714,6809
0.54,FCFS-KV,280,0.24285714285714285,11.517190692256037,29.167400951070533,2.835714285714286,0.0,8495.021428571428,6809
0.54,Adaptive-Hybrid,280,0.3142857142857143,8.307893062984508,20.48914181421611,2.8285714285714287,0.11071428571428571,7833.553571428572,6809
0.62,FCFS-KV,280,0.25357142857142856,10.30140035572089,29.938604657796816,2.9214285714285713,0.0,8527.457142857143,6809
0.62,Adaptive-Hybrid,280,0.2857142857142857,7.912613374965186,17.169842845191,3.0785714285714287,0.11428571428571428,8206.45,6809
0.22,FCFS-KV,280,0.8321428571428572,3.008999344652456,7.9957311312462025,1.1785714285714286,0.0,3461.8714285714286,6810
0.22,Adaptive-Hybrid,280,0.8321428571428572,3.0221619146581093,7.9957311312462025,1.2142857142857142,0.014285714285714285,3545.7678571428573,6810
0.3,FCFS-KV,280,0.625,4.6130639990647495,12.653703949305907,1.6428571428571428,0.0,5087.042857142857,6810
0.3,Adaptive-Hybrid,280,0.65,4.327630560878617,10.83179103725081,1.6928571428571428,0.03571428571428571,5012.946428571428,6810
0.38,FCFS-KV,280,0.5357142857142857,5.434781728516306,11.987278197236037,2.0,0.0,6188.928571428572,6810
0.38,Adaptive-Hybrid,280,0.5678571428571428,4.950142235181591,10.329064482733564,2.057142857142857,0.06428571428571428,5853.842857142857,6810
0.46,FCFS-KV,280,0.42857142857142855,6.975695037865681,17.246772220178855,2.2214285714285715,0.0,6933.628571428571,6810
0.46,Adaptive-Hybrid,280,0.4857142857142857,5.896904883100867,12.458474211041718,2.3214285714285716,0.075,6596.975,6810
0.54,FCFS-KV,280,0.3892857142857143,7.267663110179641,16.422883481873157,2.55,0.0,7320.442857142857,6810
0.54,Adaptive-Hybrid,280,0.425,6.418215459572377,13.044363876616728,2.5785714285714287,0.08928571428571429,6812.732142857143,6810
0.62,FCFS-KV,280,0.18571428571428572,12.125715375976352,27.141346877497057,3.3214285714285716,0.0,8975.65,6810
0.62,Adaptive-Hybrid,280,0.2571428571428571,7.637604866061659,17.002501421968702,3.3642857142857143,0.1,8459.582142857143,6810
