request_rate,policy,num_requests,num_runs,slo_attainment_mean,slo_attainment_std,average_latency_mean,average_latency_std,p95_latency_mean,p95_latency_std,average_batch_size_mean,average_batch_size_std
0.2,FCFS,260,5,0.8107692307692308,0.04119157149381626,2.803980654115999,0.24664272053299116,7.123470855953832,0.31398995302473653,1.2692307692307692,0.054120181844116495
0.2,SLO-aware-SA,260,5,0.8323076923076923,0.03572992049998028,2.728540627454348,0.2494405594157892,7.034248408244958,0.6660675917704462,1.1615384615384614,0.02929143502255349
0.26,FCFS,260,5,0.7546153846153846,0.03821072063698398,3.1491785830645833,0.20287404062691838,8.273919461519109,0.5124417368453411,1.4276923076923076,0.06652845633981433
0.26,SLO-aware-SA,260,5,0.7861538461538462,0.036951111152232166,3.0093310820549712,0.19124197112156974,7.996965638619349,0.4796547077001527,1.2476923076923077,0.030479404240244524
0.32,FCFS,260,5,0.6623076923076924,0.023615509896936553,3.703216158648744,0.26267670183907676,9.051572635874415,0.9148574220716195,1.7246153846153847,0.09751346440181975
0.32,SLO-aware-SA,260,5,0.6992307692307692,0.034228608401979985,3.5128284362813966,0.2525986906381988,8.835747123271597,0.8422684259549474,1.4384615384615385,0.07556493347841735
0.38,FCFS,260,5,0.5946153846153847,0.03489205670782071,4.144618118393773,0.5569124945443585,9.3724174070563,1.1622411518641398,1.9415384615384614,0.26505553733099496
0.38,SLO-aware-SA,260,5,0.6515384615384615,0.04588060141060508,3.9115263205812942,0.56474243274907,9.924782002151142,1.6294675390165483,1.586153846153846,0.19341221270558034
0.44,FCFS,260,5,0.5376923076923077,0.04658452901119927,4.4615923173400365,0.6221174763300434,9.771517335969255,0.9347979064276526,2.3,0.3404660919435496
0.44,SLO-aware-SA,260,5,0.6015384615384616,0.041655817127884,4.135020990332765,0.4579952704970548,10.104645947532058,0.5470822219792426,1.8353846153846154,0.19026608586911295
0.5,FCFS,260,5,0.5123076923076924,0.02513278346569931,4.6067288933357595,0.16476695729567217,10.076138707749232,0.8331539123525409,2.4753846153846153,0.10411645732731464
0.5,SLO-aware-SA,260,5,0.5776923076923077,0.04303569455599806,4.208433574284625,0.13261236933975296,10.134058911142459,0.2186376513875148,1.8753846153846154,0.045312850692378885
