seed,request_rate,policy,num_requests,slo_attainment,average_latency,p95_latency,average_batch_size
6806,0.2,FCFS,260,0.8538461538461538,2.609857017595204,6.859899756432355,1.2307692307692308
6806,0.2,SLO-aware-SA,260,0.8730769230769231,2.5077402018065573,6.323149999999941,1.1307692307692307
6806,0.26,FCFS,260,0.7692307692307693,2.9322260808836744,7.758379507650602,1.3846153846153846
6806,0.26,SLO-aware-SA,260,0.8153846153846154,2.7557221957781683,7.5147645476885145,1.2230769230769232
6806,0.32,FCFS,260,0.65,3.8304945500356298,9.048352192291532,1.7307692307692308
6806,0.32,SLO-aware-SA,260,0.6538461538461539,3.73768461594255,8.589903701755816,1.5
6806,0.38,FCFS,260,0.6423076923076924,3.2778624805770424,7.593383325160801,1.5538461538461539
6806,0.38,SLO-aware-SA,260,0.7192307692307692,3.0057314595785236,7.370971466585729,1.3384615384615384
6806,0.44,FCFS,260,0.5230769230769231,4.245608151564573,8.843154832593727,2.1384615384615384
6806,0.44,SLO-aware-SA,260,0.5807692307692308,4.051672434023673,10.249625872666172,1.823076923076923
6806,0.5,FCFS,260,0.5230769230769231,4.769792400996382,9.705329476680902,2.3692307692307693
6806,0.5,SLO-aware-SA,260,0.5923076923076923,4.337180031797298,9.967427901284163,1.8846153846153846
6807,0.2,FCFS,260,0.8346153846153846,2.6610126384224406,7.066654160184356,1.2307692307692308
6807,0.2,SLO-aware-SA,260,0.8461538461538461,2.5842001538070596,6.7447125240048535,1.146153846153846
6807,0.26,FCFS,260,0.6884615384615385,3.4617765305333,8.490556261282336,1.4923076923076923
6807,0.26,SLO-aware-SA,260,0.7230769230769231,3.246023849305854,8.35073922522588,1.3
6807,0.32,FCFS,260,0.7038461538461539,3.274932810840827,7.740195860079325,1.5692307692307692
6807,0.32,SLO-aware-SA,260,0.7384615384615385,3.296540379041461,8.174960409730375,1.3692307692307693
6807,0.38,FCFS,260,0.5769230769230769,4.249526879598957,9.493650755728538,1.9923076923076923
6807,0.38,SLO-aware-SA,260,0.6346153846153846,4.268705947055233,11.706763156893146,1.646153846153846
6807,0.44,FCFS,260,0.4653846153846154,5.372108010578105,11.21659727612797,2.8
6807,0.44,SLO-aware-SA,260,0.5538461538461539,4.73552485172214,10.748849536254838,2.0923076923076924
6807,0.5,FCFS,260,0.48846153846153845,4.555103639097409,9.891880224441508,2.523076923076923
6807,0.5,SLO-aware-SA,260,0.5384615384615384,4.21500081482289,10.117036864542285,1.9384615384615385
6808,0.2,FCFS,260,0.8192307692307692,2.6580645319086518,6.937742362960535,1.2538461538461538
6808,0.2,SLO-aware-SA,260,0.8423076923076923,2.5796152857548043,6.638699999999972,1.1692307692307693
6808,0.26,FCFS,260,0.7846153846153846,3.0125796571798165,8.12339992276759,1.3692307692307693
6808,0.26,SLO-aware-SA,260,0.8038461538461539,2.8837824242682566,7.699331515001404,1.2461538461538462
6808,0.32,FCFS,260,0.6461538461538462,3.8152279377001626,9.367589402310273,1.7307692307692308
6808,0.32,SLO-aware-SA,260,0.7038461538461539,3.6272942331294376,9.459613632118419,1.3923076923076922
6808,0.38,FCFS,260,0.5923076923076923,4.178937248711485,9.20592863397576,1.853846153846154
6808,0.38,SLO-aware-SA,260,0.6538461538461539,3.8385398635153023,9.64029591858015,1.4923076923076923
6808,0.44,FCFS,260,0.5576923076923077,4.297098883601009,9.41513024787207,2.2
6808,0.44,SLO-aware-SA,260,0.6230769230769231,3.925861911178161,10.009631372406488,1.7230769230769232
6808,0.5,FCFS,260,0.5076923076923077,4.449011322141573,10.112016911522346,2.3692307692307693
6808,0.5,SLO-aware-SA,260,0.5576923076923077,4.241907145837553,9.965667695804669,1.853846153846154
6809,0.2,FCFS,260,0.8,2.891752767115533,7.094492673324112,1.3615384615384616
6809,0.2,SLO-aware-SA,260,0.823076923076923,2.8738048726728485,7.568067785069047,1.2076923076923076
6809,0.26,FCFS,260,0.7576923076923077,3.1828420617312787,7.944542963998288,1.3846153846153846
6809,0.26,SLO-aware-SA,260,0.7846153846153846,3.0851711281216327,7.772246189965699,1.2307692307692308
6809,0.32,FCFS,260,0.6538461538461539,3.9493107925719966,10.268389494032027,1.8384615384615384
6809,0.32,SLO-aware-SA,260,0.676923076923077,3.713239403297078,9.954727852531164,1.5384615384615385
6809,0.38,FCFS,260,0.6115384615384616,4.1824151152063545,9.768895805865142,2.0307692307692307
6809,0.38,SLO-aware-SA,260,0.6576923076923077,3.968188335037998,10.075832824103315,1.5923076923076922
6809,0.44,FCFS,260,0.5538461538461539,4.699019461517748,10.141580362323424,2.453846153846154
6809,0.44,SLO-aware-SA,260,0.5884615384615385,4.417089640505623,10.263138060284177,1.9384615384615385
6809,0.5,FCFS,260,0.49230769230769234,4.46647943604499,9.224638288753965,2.5076923076923077
6809,0.5,SLO-aware-SA,260,0.5538461538461539,4.262532415550144,10.119252772347181,1.8846153846153846
6810,0.2,FCFS,260,0.7461538461538462,3.1992163155381648,7.658565326867802,1.2692307692307692
6810,0.2,SLO-aware-SA,260,0.7769230769230769,3.0973426232304715,7.896611732150973,1.1538461538461537
